Instance,N,M,Densite,VariancePoids,TauxRemplissage,TempsBB,OptimumBB
../instances/kp_100_1.in,100,24379,1.10718,77771.2,2.00004,0.000365229,41700
../instances/kp_100_2.in,100,25578,0.933517,68789.5,2,0.000769752,38400
../instances/kp_1000_1.in,1000,246582,0.989938,80503.3,2,0.0303464,396688
../instances/kp_1000_2.in,1000,254749,0.987994,81411.2,2,0.0021455,407933
../instances/kp_10000_1.in,10000,2465101,1.02302,82531.1,2,0.00858272,4092641
../instances/kp_10000_1_0.1.in,10000,246510,1.02302,82531.1,20,0.0798097,1296678
../instances/kp_10000_1_0.01.in,10000,24651,1.02302,82531.1,200,0.0113534,417231
../instances/kp_10000_1_0.02.in,10000,49302,1.02302,82531.1,100,0.0566496,585031
../instances/kp_10000_1_0.03.in,10000,73953,1.02302,82531.1,66.6667,0.0945384,714788
../instances/kp_10000_1_0.04.in,10000,98604,1.02302,82531.1,50,0.000850317,823225
../instances/kp_10000_1_0.05.in,10000,123255,1.02302,82531.1,40,0.0355703,919169
../instances/kp_10000_2.in,10000,2507869,1.0024,83693.4,2,0.039605,4085792
../instances/kp_100000_1.in,100000,25013286,1.00277,82874,2,54.4768,40686616
../instances/kp_100000_2.in,100000,25074574,0.996075,83804.7,2,52.4192,40542538
