Instance,Optimum,upperBound,lowerBound,gapGreedy,TempsGreedy,upperBoundFractional,lowerBoundFractional,gapFractional,TempsGreedyFractional
../instances/kp_100_1.in,41700,41752,41700,0.1247,2.058e-06,41752,41097,1.59379,1.885e-06
../instances/kp_100_2.in,38400,38441,38367,0.192874,1.351e-06,38441,37890,1.45421,1.072e-06
../instances/kp_1000_1.in,396688,396700,396644,0.0141185,1.0665e-05,396700,396305,0.0996707,9.8e-06
../instances/kp_1000_2.in,407933,407935,407930,0.0012257,1.063e-05,407935,407930,0.0012257,1.0008e-05
../instances/kp_10000_1.in,4092641,4.09264e+06,4.09264e+06,2.44341e-05,6.2703e-05,4.09264e+06,4.0926e+06,0.000952939,6.1083e-05
../instances/kp_10000_1_0.1.in,1296678,1.29668e+06,1.29666e+06,0.00138818,3.7518e-05,1.29668e+06,1.29624e+06,0.0340215,3.0849e-05
../instances/kp_10000_1_0.01.in,417231,417235,417210,0.00599219,2.257e-05,417235,416418,0.196197,1.8908e-05
../instances/kp_10000_1_0.02.in,585031,585034,584993,0.00700863,3.0595e-05,585034,584228,0.13796,2.4812e-05
../instances/kp_10000_1_0.03.in,714788,714797,714764,0.00461691,2.8305e-05,714797,714541,0.0358272,2.4359e-05
../instances/kp_10000_1_0.04.in,823225,823225,823196,0.00352285,2.2152e-05,823225,823036,0.0229638,1.9184e-05
../instances/kp_10000_1_0.05.in,919169,919171,919134,0.00402553,1.8992e-05,919171,918561,0.0664082,1.6521e-05
../instances/kp_10000_2.in,4085792,4.08579e+06,4.08577e+06,0.000489503,3.7498e-05,4.08579e+06,4.08552e+06,0.00663318,3.655e-05
../instances/kp_100000_1.in,40686622,4.06869e+07,4.06866e+07,0.000589875,0.000375353,4.06869e+07,4.06863e+07,0.00128299,0.000365717
../instances/kp_100000_2.in,40542543,4.05427e+07,4.05425e+07,0.000382314,0.000374708,4.05427e+07,4.05422e+07,0.00118395,0.000367037
